Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_DMSO_20240315120525.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_Torin1_inj3.mzML
P52732	P52732	KIF11_HUMAN	KIF11	Kinesin-like protein KIF11					97445.2													
P52788	P52788	SPSY_HUMAN	SMS	Spermine synthase	638773	652472	814275	1.00721e+06	319100	294162	602591	765781	842558	857586	426847		1.0162e+06	661046	794375	1.05105e+06	653116	513234
P52799	P52799	EFNB2_HUMAN	EFNB2	Ephrin-B2	11237.9				44948.6				15483.1		49350.8						40421.1	
P52888	P52888	THOP1_HUMAN	THOP1	Thimet oligopeptidase	172475	261161	153952	192625	257354	1.44462e+06	232618	218007	197498	233369	194841		174136	283692		428004	248747	360839
P52895;Q04828	Q04828;P52895	AK1C1_HUMAN;AK1C2_HUMAN	AKR1C1;AKR1C2	Aldo-keto reductase family 1 member C2						608106												
P52907	P52907	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1	493656	590619	520632	514884	305519	684479	422637	681023	587662	527456	316752	672360	640947	483537	652696	660474	440634	519207
P52943	P52943	CRIP2_HUMAN	CRIP2	Cysteine-rich protein 2			115752	80371.1		225366	82550.6	63915.3	152602	46479.9				67891.8	73620.7	205349	184394	178776
P53004	P53004	BIEA_HUMAN	BLVRA	Biliverdin reductase A	387574	166627	174905	308727	686691	404584	160418	304245	150755	173791		242310		359674		337347	261270	
P53396	P53396	ACLY_HUMAN	ACLY	ATP-citrate synthase	9.4134e+06	8.72099e+06	7.8735e+06	9.63985e+06	6.61407e+06	1.04907e+07	1.11448e+07	1.15994e+07	9.57045e+06	9.77111e+06	5.18325e+06	1.21618e+07	5.90323e+06	9.32273e+06	7.86611e+06	9.15881e+06	7.60014e+06	1.21565e+07
P53618	P53618	COPB_HUMAN	COPB1	Coatomer subunit beta	428292	470415	391292	598351	159026	834978	642761	593574	477456	652859	218569	182551	458659	665291	341604	766355	405492	564054
P53621	P53621	COPA_HUMAN	COPA	Coatomer subunit alpha	429263	343497	343269	286956	363687	350904	483684	334800	475694	260345	136217	239049	285631	383029	192929	382870	258637	541612
P53634	P53634	CATC_HUMAN	CTSC	Dipeptidyl peptidase 1	4.15786e+06	4.26404e+06	1.19216e+07	7.76412e+06	1.37523e+07	4.38782e+06	5.16371e+06	3.18009e+06	1.23629e+07	6.08259e+06	1.77821e+07	3.50362e+06	982692	1.41698e+06	8.59996e+06	2.23278e+06	1.70349e+07	4.50265e+06
P53701	P53701	CCHL_HUMAN	HCCS	Cytochrome c-type heme lyase					133208	1.16445e+06												
P53985	P53985	MOT1_HUMAN	SLC16A1	Monocarboxylate transporter 1		107152	221950		243165	565820		144274	166214		393241					41376.3	238030	437222
P53990	P53990	IST1_HUMAN	IST1	IST1 homolog		151124	144972		318203	140590	94898.4	95678.2	143959	252722	268778	237823	23585.6		133784	201525	366490	448577
P53992	P53992	SC24C_HUMAN	SEC24C	Protein transport protein Sec24C			521248		2.03189e+06	197366	333835	202950	253181					178114	151126	232366	137638	286470
P53999	P53999	TCP4_HUMAN	SUB1	Activated RNA polymerase II transcriptional coactivator p15	687478	1.18159e+06	233300	665999	400592	1.2317e+06	946949	1.85368e+06	1.35747e+06	1.59082e+06	628821	2.09827e+06		1.51967e+06		620759	446922	1.5446e+06
P54136	P54136	SYRC_HUMAN	RARS1	Arginine--tRNA ligase, cytoplasmic	180610		354927	161402	294747	587972		173637	509918	360601				181580		263837		436739
P54289	P54289	CA2D1_HUMAN	CACNA2D1	Voltage-dependent calcium channel subunit alpha-2/delta-1	1.51778e+06	1.60579e+06	1.16418e+06	2.03754e+06	112988	413932	1.49013e+06	1.37733e+06	1.049e+06	1.48466e+06	295294		2.01287e+06	865915	749298	583426	364228	389152
P54296	P54296	MYOM2_HUMAN	MYOM2	Myomesin-2	50698.2	60239.4		157983					206722		595577				114099	34768.7		
P54577	P54577	SYYC_HUMAN	YARS1	Tyrosine--tRNA ligase, cytoplasmic	1.20981e+06	1.05224e+06	958295	663600	87664.1	413795	1.28861e+06	1.17302e+06	952133	609496	335846	140905		1.42241e+06	437090	856615	345112	476228
P54578	P54578	UBP14_HUMAN	USP14	Ubiquitin carboxyl-terminal hydrolase 14	894688	1.27962e+06	1.22251e+06	1.47674e+06	652756	1.7385e+06	1.31845e+06	1.27342e+06	1.43009e+06	1.33525e+06	669293	1.41175e+06	1.3379e+06	1.22087e+06	1.19056e+06	1.29493e+06	1.1049e+06	1.74477e+06
P54619	P54619;Q9UGJ0	AAKG1_HUMAN	PRKAG1	5'-AMP-activated protein kinase subunit gamma-1					129731	429018						193732						
P54687	P54687	BCAT1_HUMAN	BCAT1	Branched-chain-amino-acid aminotransferase, cytosolic						1.77625e+06												
P54707	P54707	AT12A_HUMAN	ATP12A	Potassium-transporting ATPase alpha chain 2	195808			240965	280884	209054		374500		147520	158046	827221		101297		135688	156669	389768
P54709	P54709	AT1B3_HUMAN	ATP1B3	Sodium/potassium-transporting ATPase subunit beta-3	666293	349579	881595	1.02388e+06	1.4685e+06	1.67304e+06	930089	350404	805526	1.33728e+06	2.11391e+06	1.00124e+06	203046	317891	767515	454022	1.7795e+06	1.09361e+06
P54725	P54725	RD23A_HUMAN	RAD23A	UV excision repair protein RAD23 homolog A						562214												
P54802	P54802	ANAG_HUMAN	NAGLU	Alpha-N-acetylglucosaminidase	346051	366086	1.50006e+06	1.27116e+06	2.14513e+06	289852	509008	359404	1.5472e+06	1.22245e+06	2.33844e+06	1.28933e+06		193269	1.44533e+06	361122	2.22623e+06	341458
P54819	P54819	KAD2_HUMAN	AK2	Adenylate kinase 2, mitochondrial	451815	372192	433075		326154	1.02029e+06	347844	755366	476110	542083	689112	803724	964776	363710	1.17233e+06	365845	517234	1.06624e+06
P54886	P54886	P5CS_HUMAN	ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase		71190.6			299214	1.8689e+06						159786				64050.1		103926
P55001	P55001	MFAP2_HUMAN	MFAP2	Microfibrillar-associated protein 2		30105.8	481676		130423				161451		118081						149902	
P55010	P55010	IF5_HUMAN	EIF5	Eukaryotic translation initiation factor 5	781182	647964	374722	509702	1.05958e+06	368317	560266	743809	266548	444980	300369	347884	690225	553156		560438	334747	462793
P55058	P55058	PLTP_HUMAN	PLTP	Phospholipid transfer protein	829562	1.86186e+06	1.10179e+06	1.92104e+06	1.23973e+06	547024	1.25466e+06	1.20462e+06	1.97569e+06	1.3757e+06	1.4351e+06		1.37493e+06	668382	1.14502e+06	493609	1.14519e+06	523565
P55060	P55060	XPO2_HUMAN	CSE1L	Exportin-2	1.19223e+06	1.08885e+06	611687	930282	1.52636e+06	904808	1.23874e+06	1.28226e+06	1.08731e+06	914015		335091		1.3789e+06	717898	826825	438108	977577
P55072	P55072	TERA_HUMAN	VCP	Transitional endoplasmic reticulum ATPase	2.01612e+06	1.94281e+06	2.41258e+06	1.64265e+06	2.20738e+06	4.0534e+06	2.2846e+06	2.21739e+06	1.71295e+06	2.39548e+06	1.76093e+06	4.64189e+06	3.06777e+06	2.56441e+06	2.61633e+06	2.5673e+06	2.26627e+06	4.21837e+06
P55084	P55084	ECHB_HUMAN	HADHB	Trifunctional enzyme subunit beta, mitochondrial						154244												164671
P55145	P55145	MANF_HUMAN	MANF	Mesencephalic astrocyte-derived neurotrophic factor	231190	366987	912495	144398	259613	264883	156832	257537	480311	231229	286274		905709	370202	841504	362129	669932	226069
P55209	P55209	NP1L1_HUMAN	NAP1L1	Nucleosome assembly protein 1-like 1	1.18601e+06	1.42384e+06	1.59728e+06	1.24417e+06	644952	1.84991e+06	1.22325e+06	1.6818e+06	1.63606e+06	976662	795965	2.11875e+06	1.25401e+06	1.41384e+06	1.41204e+06	2.04059e+06	995529	1.71313e+06
P55209;Q99733	P55209;Q99733	NP1L1_HUMAN;NP1L4_HUMAN	NAP1L1;NAP1L4	Nucleosome assembly protein 1-like 1	1.22938e+06	1.72059e+06	1.19289e+06	1.85493e+06	803989	1.5812e+06	1.3752e+06	2.17851e+06	1.78602e+06	2.04547e+06	350544	1.15549e+06	179979	1.47805e+06	964072	1.97025e+06	922598	1.42174e+06
P55263	P55263	ADK_HUMAN	ADK	Adenosine kinase	260691	287771	149018	146811	126947	63467.6	177228	207543	118086	152032				126136		96235.8	37658.9	77114
P55268	P55268	LAMB2_HUMAN	LAMB2	Laminin subunit beta-2	96742.1	132815	776161	613696	1.08469e+06	435680	237006	391602	974315	438403	1.61235e+06	240042			573553	116444	1.64732e+06	429422
P55285	P55285	CADH6_HUMAN	CDH6	Cadherin-6	468975	423706	408613	436342			679921	429081	297400	585734				229616		149131		
P55287	P55287	CAD11_HUMAN	CDH11	Cadherin-11	478593	503464	371203	756428			443284	527389	411396	563125				276597	330016	188229	94225	
P55290	P55290	CAD13_HUMAN	CDH13	Cadherin-13	894106	1.01068e+06	714716	997930			1.20003e+06	759779	644697	1.09091e+06	174787	77830.6	861260	466617	1.13011e+06	420080	221707	50382.8
P55735	P55735	SEC13_HUMAN	SEC13	Protein SEC13 homolog		27947.5	57822.9					31803.2	29763.5					38720.4	37716.6	24886.5	51111.6	
P55786	P55786;A6NEC2	PSA_HUMAN	NPEPPS	Puromycin-sensitive aminopeptidase	877397	825980	749163	904685	500951	1.10327e+06	901546	949679	1.01469e+06	1.04935e+06	650176	983347	1.18272e+06	1.04778e+06	990618	1.1332e+06	860328	1.0167e+06
P55809	P55809	SCOT1_HUMAN	OXCT1	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	219577	193266	163997	112290	293294	738676		104445	76848.5	17955.4		675149		322191	140954	380464	140888	
P55854;P61956;Q6EEV6	P55854;P61956;Q6EEV6	SUMO2_HUMAN;SUMO3_HUMAN;SUMO4_HUMAN	SUMO2;SUMO3;SUMO4	Small ubiquitin-related modifier 3	307746	182589	243948	281066	74096.8	120305	327709	152018	264420	368156	141800	339929	109289	297705	475659	229934	189718	152009
P55884	P55884	EIF3B_HUMAN	EIF3B	Eukaryotic translation initiation factor 3 subunit B	699471	554327	572014	604135	199409	595579	608896	571048	585689	497039	247533	480705	349123	616676	501737	662718	512354	490051
P55957	P55957	BID_HUMAN	BID	BH3-interacting domain death agonist						443205								60466.3	48375.5	68543.3	55436.8	
P56192	P56192	SYMC_HUMAN	MARS1	Methionine--tRNA ligase, cytoplasmic	78055.8	128705	58722.3	93718.5				124291	111090					145077		72270.8		116505
P56199	P56199	ITA1_HUMAN	ITGA1	Integrin alpha-1	86427.5	80605.1	183003	195443	229858	54090.4		60845.2	120038	246619	246333			29561.4		62896.2	165858	112178
P56537	P56537	IF6_HUMAN	EIF6	Eukaryotic translation initiation factor 6		746035	714819	877386	682998	654414		755001	966032	1.0497e+06		143068		649950		786470		565012
P57740	P57740	NU107_HUMAN	NUP107	Nuclear pore complex protein Nup107						468421												71111.5
P58107	P58107	EPIPL_HUMAN	EPPK1	Epiplakin					129012													
P58215	P58215	LOXL3_HUMAN	LOXL3	Lysyl oxidase homolog 3		37949.4	209981	219724	254864			36452	248009	147947	141732				120690	15354	232888	154797
P58546	P58546	MTPN_HUMAN	MTPN	Myotrophin	115915	193613	212043	129333				235944	110440	120744	43149.9			187604		170290	24613.7	
P59998	P59998	ARPC4_HUMAN	ARPC4	Actin-related protein 2/3 complex subunit 4	3.6545e+06	2.4427e+06	3.69555e+06	3.1519e+06	1.66549e+06	4.05553e+06	3.27487e+06	2.33e+06	3.15292e+06	3.7595e+06	1.71904e+06	4.11651e+06	3.14654e+06	3.40174e+06	4.77224e+06	3.56129e+06	3.53311e+06	3.53583e+06
P60033	P60033	CD81_HUMAN	CD81	CD81 antigen				122252	84939.6	135080					638299	646845					526700	69407
P60174	P60174	TPIS_HUMAN	TPI1	Triosephosphate isomerase	6.10203e+06	6.02731e+06	9.09075e+06	5.30308e+06	5.69807e+06	1.28645e+07	6.87494e+06	6.05318e+06	8.18644e+06	7.96029e+06	6.0322e+06	1.38133e+07	8.38443e+06	6.64644e+06	1.13757e+07	9.54065e+06	8.7215e+06	1.31898e+07
P60228	P60228	EIF3E_HUMAN	EIF3E	Eukaryotic translation initiation factor 3 subunit E	604804	640395	608139	851547	450194	838765	814369	727794	932622	829201	413359	1.18449e+06	361610	816121	985175	948014	462760	971509
P60660	P60660	MYL6_HUMAN	MYL6	Myosin light polypeptide 6	389007	449227	364497	320280	160486	280073	317889	269986	296690	306154	89823.1	246239	286859	224198	339523	419623	186450	213048
P60709;P63261	P60709;P63261	ACTB_HUMAN;ACTG_HUMAN	ACTB;ACTG1	Actin, cytoplasmic 1	2.88262e+07	3.35603e+07	3.5658e+07	2.80034e+07	1.77924e+07	2.98885e+07	2.79992e+07	3.19326e+07	3.89396e+07	2.4775e+07	1.54757e+07	3.44155e+07	2.58655e+07	3.51504e+07	3.80771e+07	3.14017e+07	1.64315e+07	2.84999e+07
P60709;P63261;P63267	P68032;P68133;P60709;P63261;P62736;P63267	ACTB_HUMAN;ACTG_HUMAN;ACTH_HUMAN	ACTB;ACTG1;ACTG2	Actin, cytoplasmic 1	4.54939e+07	4.85009e+07	6.60394e+07	3.81094e+07	3.36537e+07	5.54399e+07	5.29596e+07	4.90129e+07	5.21118e+07	5.07295e+07	2.717e+07	6.00665e+07	9.0582e+07	4.09174e+07	6.40051e+07	4.70927e+07	4.6221e+07	4.90838e+07
P60842	P60842	IF4A1_HUMAN	EIF4A1	Eukaryotic initiation factor 4A-I	6.11464e+06	5.93928e+06	6.40978e+06	4.04629e+06	946186	2.45325e+06	6.56231e+06	6.53285e+06	6.04212e+06	4.01921e+06	1.33928e+06	2.42928e+06	3.2575e+06	5.88052e+06	3.76417e+06	5.50244e+06	2.62184e+06	2.58935e+06
P60842;Q14240	P60842;Q14240	IF4A1_HUMAN;IF4A2_HUMAN	EIF4A1;EIF4A2	Eukaryotic initiation factor 4A-I	3.92472e+06	3.7058e+06	3.67365e+06	3.32091e+06	2.00602e+06	3.64135e+06	4.41657e+06	4.26493e+06	3.82769e+06	3.56907e+06	1.12007e+06	2.29154e+06	3.46112e+06	3.41361e+06	4.02324e+06	3.67205e+06	2.21098e+06	3.91907e+06
P60866	P60866	RS20_HUMAN	RPS20	40S ribosomal protein S20	1.56715e+06	1.56803e+06	1.8005e+06	1.21528e+06	455215	1.04018e+06	1.82525e+06	1.38645e+06	1.172e+06	1.14542e+06	337387		1.49886e+06	1.98104e+06	1.66471e+06	1.75394e+06	367674	1.21465e+06
P60900	P60900	PSA6_HUMAN	PSMA6	Proteasome subunit alpha type-6	1.62149e+06	1.47772e+06	2.04691e+06	1.63003e+06	603850	1.91058e+06	1.74314e+06	1.53823e+06	1.88374e+06	1.94489e+06	1.02317e+06	1.2985e+06	1.45834e+06	2.10352e+06	1.98069e+06	2.61785e+06	1.68063e+06	1.6975e+06
P60953	P60953	CDC42_HUMAN	CDC42	Cell division control protein 42 homolog	360951	305445	361147	285478	869686	625746	236685	231416	205371	260279	365034	553222		265161		293018	437938	422943
P60953;P63000	P17081;P63000;Q9H4E5;P84095;P15153;P60763;P60953	CDC42_HUMAN;RAC1_HUMAN	CDC42;RAC1	Cell division control protein 42 homolog		24490	37332	59261.7	81249.9	25776.1	21518		57368.3	124535	125155						201251	46066.1
P60981	P60981	DEST_HUMAN	DSTN	Destrin	249547	469026	595839	263878	537404	919209	711866	494435	397529	294695	272032	404689		320655	600910	749449	485648	443057
P60983	P60983	GMFB_HUMAN	GMFB	Glia maturation factor beta	186896	180125	134167	172953		164561		193556	67848.8	126447		379734		116266	58941.5	230944	106652	133421
P61006;P61026;P61106;P62820;Q15286	P61106;Q96DA2;P20337;Q96E17;Q92930;Q92928;Q15286;Q86YS6;P61026;P62820;O95716;P61006;P20336;Q9H0U4;Q6IQ22;P20338;P61018;Q96AX2;Q15771	RAB10_HUMAN;RAB14_HUMAN;RAB1A_HUMAN;RAB35_HUMAN;RAB8A_HUMAN	RAB10;RAB14;RAB1A;RAB35;RAB8A	Ras-related protein Rab-8A	433564	368364	490377	474745	622710	827993	948344	285896	556432	585592	538886	943433		211851	1.00053e+06	341715	543683	854979
P61011	P61011	SRP54_HUMAN	SRP54	Signal recognition particle 54 kDa protein						1.21956e+06												
P61018	P61018	RAB4B_HUMAN	RAB4B	Ras-related protein Rab-4B	2.78043e+06	3.04103e+06	2.00693e+06	2.89748e+06	962459	761997	1.91597e+06	2.31455e+06	2.7585e+06	2.0125e+06	984316		1.33636e+06	1.26221e+06	2.5292e+06	1.03478e+06	544010	1.18182e+06
P61019;Q8WUD1	P61019;Q8WUD1	RAB2A_HUMAN;RAB2B_HUMAN	RAB2A;RAB2B	Ras-related protein Rab-2A			47482.7			272993			22151		34800.3					32167.4	78045.7	137654
P61026	P61026	RAB10_HUMAN	RAB10	Ras-related protein Rab-10		254229	416726		1.72425e+06	292735		207934	275307	413796	952822	1.54721e+06					712845	896719
P61077;P62837	P61077;P62837	UB2D2_HUMAN;UB2D3_HUMAN	UBE2D2;UBE2D3	Ubiquitin-conjugating enzyme E2 D3	418009	290303	175084	279734	322801	867840	364517	496134	402041	427845	102482	183131		601169	243623	323790	189789	275739
P61081	P61081	UBC12_HUMAN	UBE2M	NEDD8-conjugating enzyme Ubc12	394606	463417	380812	339262	112544	606269	436806	399236	672740	466495	1.26951e+06	580448	376705	317804		367286	274222	553834
P61086	P61086	UBE2K_HUMAN	UBE2K	Ubiquitin-conjugating enzyme E2 K	217194	360840	365059	223026	248987	278538	356345	335325	406970	343148	155718	383652		266080	432263	351402	155442	342192
P61088	P61088	UBE2N_HUMAN	UBE2N	Ubiquitin-conjugating enzyme E2 N	890460	926467	885690	943978	1.15617e+06	1.90858e+06	943967	1.16149e+06	1.29719e+06	1.63123e+06	882429	1.60369e+06	683930	1.02407e+06	765674	1.41432e+06	1.18602e+06	1.87385e+06
P61106	P61106	RAB14_HUMAN	RAB14	Ras-related protein Rab-14	17843.7										47124.7			23007.5		27422.3		48257.5
P61158	P61158	ARP3_HUMAN	ACTR3	Actin-related protein 3	2.3095e+06	2.34705e+06	2.74294e+06	2.51744e+06	1.60253e+06	2.54351e+06	1.99155e+06	2.59709e+06	2.95835e+06	2.68473e+06	1.16051e+06	1.94763e+06	2.47415e+06	2.67009e+06	3.92425e+06	3.33611e+06	2.2565e+06	2.55507e+06
P61160	P61160	ARP2_HUMAN	ACTR2	Actin-related protein 2	657242	668161	713930	549591	445891	616678	640854	609304	428203	510613	640056	816610	1.31095e+06	557536	1.62254e+06	724455	417853	489368
P61163	P42025;P61163	ACTZ_HUMAN	ACTR1A	Alpha-centractin	45335.9	39081		50605.2	58019.1	217091		50308.7	57344.8	31631.6		390028		67724.3		65423.4		287708
P61201	P61201	CSN2_HUMAN	COPS2	COP9 signalosome complex subunit 2						366084										26165.5		
P61204;P84077	P84077;P61204	ARF1_HUMAN;ARF3_HUMAN	ARF1;ARF3	ADP-ribosylation factor 3	1.3804e+06	918718	1.12958e+06	1.58447e+06	1.41442e+06	5.80085e+06	1.28526e+06	1.06545e+06	1.34963e+06	1.82001e+06	1.50975e+06	2.88418e+06	1.19382e+06	1.11166e+06	1.93439e+06	1.12126e+06	1.6897e+06	3.38514e+06
P61221	P61221	ABCE1_HUMAN	ABCE1	ATP-binding cassette sub-family E member 1	103558	150860			431744	147427	128489	100133	147011				130368	140535		96547.3	514588	
P61224;P62834	P62834;P61224	RAP1A_HUMAN;RAP1B_HUMAN	RAP1A;RAP1B	Ras-related protein Rap-1b	988742	1.1335e+06	2.01255e+06	2.0677e+06	3.35983e+06	1.94514e+06	1.27878e+06	1.19758e+06	1.61958e+06	1.8028e+06	2.76967e+06	2.95211e+06	933716	690026	2.226e+06	901623	2.52806e+06	2.11324e+06
P61225	P10114;Q9Y3L5;P61225	RAP2B_HUMAN	RAP2B	Ras-related protein Rap-2b	143009		242585	270658	919998	684232	136454	82863	418670	295234	849481	208577				90923	659493	504879
P61247	P61247	RS3A_HUMAN	RPS3A	40S ribosomal protein S3a	3.41896e+06	3.60314e+06	2.04283e+06	2.59489e+06	713121	1.17564e+06	2.92843e+06	3.60077e+06	3.02575e+06	2.50857e+06	607863	1.22426e+06	1.60679e+06	3.36189e+06	1.98173e+06	2.92131e+06	601890	1.88176e+06
P61254	P61254;Q9UNX3	RL26_HUMAN	RPL26	60S ribosomal protein L26	2.82278e+06	3.24017e+06	1.52568e+06	1.93316e+06	254849	778967	1.61006e+06	3.39247e+06	1.16989e+06	1.37924e+06			1.98263e+06	3.74157e+06	357087	1.87309e+06	459802	606784
P61289	P61289	PSME3_HUMAN	PSME3	Proteasome activator complex subunit 3	910881	966416	1.4432e+06		678509	1.35121e+06	1.47909e+06	1.21962e+06	1.3743e+06	1.72502e+06	970837	508561	3.58857e+06	1.44647e+06	1.65211e+06	1.37067e+06	1.39157e+06	1.53772e+06
P61313	P61313	RL15_HUMAN	RPL15	60S ribosomal protein L15	1.46665e+06	1.01975e+06	1.14976e+06	857965	1.03876e+06	1.00947e+06	1.95453e+06	1.09013e+06	394362	691273	113437	523026	242573	1.48068e+06	975575	900379	274186	583676
P61326;Q96A72	Q96A72;P61326	MGN2_HUMAN;MGN_HUMAN	MAGOH;MAGOHB	Protein mago nashi homolog			110253	87054.3		103553			64900.4		19617			21872.5	507613	69155.1	91308.4	89506.6
P61353	P61353	RL27_HUMAN	RPL27	60S ribosomal protein L27	5.75878e+06	4.33361e+06	3.92369e+06	3.30485e+06	743493	1.89324e+06	5.37696e+06	4.55845e+06	3.73345e+06	3.19946e+06	710617	1.94262e+06	2.57652e+06	5.4231e+06	1.95278e+06	3.64047e+06	949161	1.68482e+06
P61586	P61586	RHOA_HUMAN	RHOA	Transforming protein RhoA	405590		638756	158545	1.10689e+06	3.42984e+06	304185		262008	348145	391388	1.19272e+06		155744		245041	475941	1.31577e+06
P61604	P61604	CH10_HUMAN	HSPE1	10 kDa heat shock protein, mitochondrial	7.16368e+06	1.05091e+07	1.02374e+07	4.95053e+06	3.32278e+06	8.32244e+06	4.91323e+06	6.72258e+06	6.54455e+06	5.6708e+06	3.78361e+06	4.6034e+06	9.16983e+06	1.27768e+07	1.2232e+07	1.5685e+07	8.59037e+06	9.87309e+06
P61619	Q9H9S3;P61619	S61A1_HUMAN	SEC61A1	Protein transport protein Sec61 subunit alpha isoform 1	138565	52878.3			195774	551026	225757	47383.8	221618	41292.7	131856	1.76183e+06		50379.9			198243	76438.6
P61626	P61626	LYSC_HUMAN	LYZ	Lysozyme C	53154.3	50114.3	170456	122454	670435	86262.1	108330	22002.8	86732.6	113610	259750		321062		478541	36569.2	320343	147716
P61758	P61758	PFD3_HUMAN	VBP1	Prefoldin subunit 3	57160.8	157223	235173	180698	80986.2	842325	91971.3	174179	97088	134748	23490.2	37653.1	146151	126720	134121	204013	112526	146624
P61764	P61764	STXB1_HUMAN	STXBP1	Syntaxin-binding protein 1	120437		343429		205394	295802	101197	74807.9	149476		308793			75822.3		146173	238905	159039
P61769	P61769	B2MG_HUMAN	B2M	Beta-2-microglobulin	578488	517918	1.27185e+06	1.36911e+06	3.51583e+06	1.63626e+06	249089	299344	1.5645e+06	2.25968e+06	3.15925e+06	660059		101044	601900	438398	3.67383e+06	1.36791e+06
P61916	P61916	NPC2_HUMAN	NPC2	NPC intracellular cholesterol transporter 2	416853	261242	1.34581e+06	1.34105e+06	4.57887e+06	1.86229e+06	433655	404887	1.86921e+06	2.05529e+06	3.57357e+06	3.35803e+06		85388.4	2.55214e+06	361695	3.5247e+06	1.33478e+06
P61927	P61927	RL37_HUMAN	RPL37	60S ribosomal protein L37	589319	469913	485863	303990			740784	444034	345771	481169	122781		369703	688248	616687	559685	93905.4	
P61970	P61970	NTF2_HUMAN	NUTF2	Nuclear transport factor 2	343116	265585	126667	177019		119059	415298	261322	116428	194534				310742		366807	182380	127986
P61978	P61978	HNRPK_HUMAN	HNRNPK	Heterogeneous nuclear ribonucleoprotein K	2.15481e+06	2.14436e+06	3.66513e+06	1.88664e+06	1.92203e+06	3.42222e+06	1.96068e+06	2.33234e+06	3.0857e+06	2.34406e+06	1.40672e+06	5.69514e+06	4.44126e+06	3.0722e+06	4.0143e+06	4.00908e+06	2.64108e+06	3.38612e+06
P61981	P61981	1433G_HUMAN	YWHAG	14-3-3 protein gamma	1.30796e+06	1.42596e+06	1.21425e+06	1.29349e+06	776348	1.34926e+06	993043	1.60449e+06	2.03843e+06	1.64375e+06	822184	3.13721e+06	1.61706e+06	1.20354e+06	1.16333e+06	1.977e+06	1.23447e+06	939962
P62070	P10301;P62070	RRAS2_HUMAN	RRAS2	Ras-related protein R-Ras2			188056		85741.4	383101			105829		100074							139025
P62081	P62081	RS7_HUMAN	RPS7	40S ribosomal protein S7	1.58183e+06	2.34032e+06	1.60841e+06	1.7827e+06	1.93558e+06	1.24802e+06	2.14703e+06	2.58588e+06	2.22814e+06	1.32203e+06	533769	898367	3.20172e+06	2.12079e+06	2.28827e+06	1.90579e+06	405656	1.23017e+06
P62136	P62136	PP1A_HUMAN	PPP1CA	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	504095	467930	307246	266280		311916	381354	367422	338072	373896	128244	69667.2		611537		422852	167637	458032
P62140	P62140	PP1B_HUMAN	PPP1CB	Serine/threonine-protein phosphatase PP1-beta catalytic subunit		92818.4	156691			157386	69708	59415.7	127891	110290				102477		131480	53669.8	
